Equipment_ID,Equipment_Name,Department,Model,Manufacturer,Purchase_Date,Last_Maintenance,Next_Maintenance,Status,Cost,Warranty_Expiry,Location,Specifications,Utilization_Hours_Month,Maintenance_Cost_Annual,Energy_Consumption_KWH,Certification_Required,Service_Contract,Calibration_Due
EQ0016,Patient Monitor,ICU,IntelliVue MX800,Philips Healthcare,2022-05-07,2025-07-17,2025-10-08,Operational,25000,2027-05-06,ICU Room 4,"parameters: 15 parameters, screen_size: 19 inch, battery_life: 120 min, networking: WiFi+Ethernet, alarms: Smart alarms, data_export: HL7 compatible",482,18309,80,AAMI,Basic,2025-10-24
EQ0017,Patient Monitor,Emergency,IntelliVue MX450,Philips Healthcare,2021-11-24,2025-04-19,2025-09-19,Operational,18000,2024-11-23,ER Room 1,"parameters: 8 parameters, screen_size: 15 inch, battery_life: 90 min, networking: WiFi, alarms: Standard, data_export: Basic",471,22642,85,FDA,None,2026-03-31
EQ0018,Telemetry Monitor,Cardiology,IntelliVue MX40,Philips Healthcare,2023-07-25,2025-07-26,2025-10-10,Operational,8000,2027-07-24,Cardio Ward,"parameters: 5 parameters, screen_size: 4.3 inch, battery_life: 14 hours, networking: WiFi, weight: 0.59kg, waterproof: IP44",372,18360,98,FDA+CE,Silver,2025-10-18
EQ0019,Ultrasound System,Cardiology,EPIQ Elite,Philips Healthcare,2018-07-20,2025-05-25,2025-10-03,Operational,280000,2022-07-19,Echo Lab 1,"probes: 6 transducers, imaging_modes: 2D/3D/4D, penetration: 32cm, frequency_range: 1-15MHz, monitor_size: 23 inch, storage: SSD 1TB",192,14055,100,ISO 13485,None,2025-10-04
EQ0020,Ultrasound Portable,Emergency,Lumify,Philips Healthcare,2018-06-12,2025-04-14,2025-11-30,Operational,8000,2021-06-11,Mobile,"probes: C5-1 Curved, imaging_modes: 2D/M-Mode, penetration: 20cm, frequency_range: 5-1MHz, device: Tablet-based, battery_life: 2 hours",420,12457,129,FDA,None,2026-07-06
EQ0021,Ultrasound OB/GYN,Obstetrics,Voluson E10,GE Healthcare,2019-01-20,2025-06-01,2025-10-27,Operational,185000,2024-01-19,OB Suite 1,"probes: 8 transducers, imaging_modes: 2D/3D/4D/HDlive, penetration: 24cm, frequency_range: 1-12MHz, monitor_size: 21.5 inch, storage: HDD 2TB",143,8921,124,AAMI,None,2025-12-25
EQ0022,Chemistry Analyzer,Laboratory,DxH 900,Beckman Coulter,2017-08-09,2025-07-17,2025-11-25,Operational,185000,2021-08-08,Main Lab,"throughput: 400 tests/hour, sample_volume: 2-35μL, reagent_positions: 25, temperature_control: ±0.1°C, barcode_reader: Integrated, connectivity: LIS compatible",372,7555,101,FDA,Silver,2026-06-19
EQ0023,Hematology Analyzer,Laboratory,XN-2000,Sysmex,2020-03-12,2025-07-19,2025-10-20,Operational,125000,2023-03-12,Hematology Lab,"throughput: 100 samples/hour, parameters: 37 parameters, sample_volume: 88μL, flagging: Advanced, quality_control: Automatic, connectivity: Middleware ready",380,17925,63,ISO 13485,None,2026-04-01
EQ0024,Blood Gas Analyzer,Laboratory,ABL90 FLEX,Radiometer,2022-05-10,2025-07-22,2025-09-29,Operational,65000,2027-05-09,STAT Lab,"parameters: 17 parameters, sample_volume: 65μL, throughput: 35 samples/hour, maintenance: Minimal, quality_control: iQM2, connectivity: LIS/HIS",521,22957,113,AAMI,Bronze,2025-09-13
EQ0025,Microscope,Laboratory,DM2500,Leica Microsystems,2017-12-18,2025-06-03,2025-09-24,Maintenance Required,35000,2022-12-17,Pathology,"magnification: 40x-1000x, objectives: 4 objectives, illumination: LED, camera: 5MP digital, software: LAS X, motorized: Stage+Focus",468,2375,50,ISO 13485,Bronze,2026-07-23
EQ0026,Digital X-Ray,Radiology,DRX-Revolution,Carestream Health,2024-03-12,2025-06-18,2025-10-19,Operational,185000,2029-03-11,X-Ray Room 1,"detector_size: 35x43cm, resolution: 3.9 lp/mm, exposure_time: 1ms-10s, kv_range: 40-150kV, ma_range: 1-800mA, image_processing: UNIQUE",559,7977,101,FDA,Basic,2026-03-29
EQ0027,Mobile X-Ray,ICU,DRX-Revolution Nano,Carestream Health,2022-04-28,2025-06-14,2025-10-27,Operational,125000,2026-04-27,Mobile ICU,"detector_size: 25x30cm, resolution: 3.9 lp/mm, exposure_time: 1ms-6.3s, kv_range: 40-125kV, ma_range: 1-400mA, battery_life: 8 hours",219,9102,60,FDA,Basic,2025-10-29
EQ0028,Mammography Unit,Radiology,Senographe Pristina,GE Healthcare,2018-05-07,2025-06-18,2025-09-29,Operational,485000,2022-05-06,Mammography Suite,"compression: SmartCurve, detector: CsI, aec_modes: 5 modes, dose_optimization: CEDM ready, comfort: Curved paddle, positioning: Automated",369,24297,166,CE Mark,Basic,2025-10-15
EQ0029,Electrosurgical Unit,Surgery,ForceTriad,Medtronic,2024-03-16,2025-06-13,2025-11-26,Operational,18000,2027-03-16,OR 1,"power_output: 300W, modes: Cut/Coag/Blend, monopolar: Yes, bipolar: Yes, safety_systems: REM+CQM, footswitch: Dual",350,6999,187,CE Mark,Bronze,2026-01-17
EQ0030,Surgical Lights,Surgery,Pentaled 42,Getinge,2024-07-19,2025-05-25,2025-12-02,Operational,45000,2029-07-18,OR 2,"illumination: 160000 lux, cri: >95, shadow_dilution: 95%, temperature_control: Low heat, led_count: 42 LEDs, lifespan: 50000 hours",589,12658,109,CE Mark,Basic,2026-07-18
EQ0031,Operating Table,Surgery,Alphamaxx,Getinge,2018-06-26,2025-07-25,2025-09-03,Maintenance Required,65000,2022-06-25,OR 3,"weight_capacity: 454kg, height_range: 60-120cm, trendelenburg: ±30°, lateral_tilt: ±18°, movements: 8 motorized, radiolucent: Carbon fiber",365,18664,198,FDA,Basic,2026-02-07
EQ0032,Hemodialysis Machine,Nephrology,2008K,Fresenius Medical Care,2022-06-09,2025-04-10,2025-09-07,Maintenance Required,95000,2027-06-08,Dialysis Unit 1,"blood_flow: 50-500 ml/min, dialysate_flow: 300-800 ml/min, ultrafiltration: 0-4000 ml/h, safety_systems: Multiple, water_quality: AAMI standard, touchscreen: 15 inch",118,20118,61,FDA+CE,Gold,2026-04-11
EQ0033,Peritoneal Dialysis,Nephrology,Liberty Cycler,Fresenius Medical Care,2019-12-24,2025-05-14,2025-10-11,Operational,25000,2024-12-22,PD Suite,"fill_volume: 50-3000ml, dwell_time: 10min-10h, cycles: 1-10, alarms: Audio/Visual, data_transfer: Wireless, weight: 6.8kg",594,6012,113,CE Mark,Basic,2026-03-16
EQ0034,Infusion Pump,ICU,Alaris GP,BD,2024-01-27,2025-07-20,2025-10-15,Operational,4500,2027-01-26,ICU Room 5,"flow_rate: 0.1-999.9 ml/h, pressure_limit: 5-15 PSI, occlusion_detection: 3 levels, battery_life: 6 hours, drug_library: 1000+ drugs, networking: WiFi",427,11120,193,FDA,Silver,2026-07-25
EQ0035,Syringe Pump,NICU,Alaris CC,BD,2024-05-16,2025-04-17,2025-10-26,Operational,3200,2027-05-16,NICU,"syringe_size: 1-60ml, flow_rate: 0.001-999.9 ml/h, accuracy: ±3%, occlusion_pressure: 5-15 PSI, start_delay: <3s, drug_library: Pediatric",495,9772,79,ISO 13485,Basic,2026-06-15
EQ0036,Steam Sterilizer,Central Sterile,V-PRO 1 Plus,STERIS,2019-10-30,2025-07-02,2025-11-28,Maintenance Required,85000,2023-10-29,Sterilization Room,"chamber_size: 28L, cycle_time: 28-45 min, temperature: 131-135°C, validation: Biological indicators, loading: Front loading, connectivity: Network ready",160,22716,160,FDA,Basic,2026-01-04
EQ0037,ETO Sterilizer,Central Sterile,Steri-Vac 5XL,STERIS,2018-03-10,2025-06-20,2025-10-09,Operational,125000,2022-03-09,ETO Room,"chamber_size: 140L, cycle_time: 12-24 hours, temperature: 37-65°C, gas_type: Ethylene Oxide, aeration: Built-in, automation: Full cycle",431,23302,92,FDA+CE,Bronze,2025-10-12
EQ0038,CPAP Machine,Pulmonology,V60,Philips Respironics,2017-11-22,2025-05-30,2025-10-31,Operational,8500,2021-11-21,Sleep Lab,"pressure_range: 4-30 cmH2O, modes: CPAP/BiPAP, humidifier: Heated, data_management: SD card, alarms: Comprehensive, display: Color TFT",465,24230,70,FDA+CE,None,2026-03-12
EQ0039,Nebulizer,Respiratory,Pari LC Plus,PARI Pharma,2023-07-06,2025-04-23,2025-10-11,Operational,150,2028-07-04,Respiratory Therapy,"particle_size: 1-5 microns, output_rate: 0.2ml/min, residual_volume: <0.5ml, nebulization_time: 5-10 min, compatibility: Most compressors, cleaning: Dishwasher safe",222,23146,61,FDA,Silver,2026-02-01
EQ0040,Crash Cart,Emergency,Standard Code Cart,Capsa Healthcare,2021-12-26,2025-06-29,2025-09-08,Operational,8500,2025-12-25,ER Central,"drawers: 6 locking drawers, power: AC outlets, accessories: IV pole+O2 holder, mobility: 4 wheels+brakes, materials: Antimicrobial, organization: Color coded",313,19222,195,CE Mark,Basic,2026-06-06
EQ0041,Transport Monitor,Emergency,X2,Zoll Medical,2017-11-21,2025-04-19,2025-11-23,Operational,15000,2020-11-20,Ambulance 1,"parameters: 12 parameters, defibrillation: 1-200J, pacing: Non-invasive, battery_life: 3.5 hours, data_transmission: WiFi/Cellular, rugged_design: IP55",300,24857,32,AAMI,Basic,2025-09-03
